level	page_num	par_num	block_num	line_num	word_num	left	top	width	height	conf	text
5	1	4	0	0	3	441.50	79.67	32.35	11.80	100	recipient’s
5	1	4	0	0	4	475.34	79.67	10.49	11.80	100	ZIP
5	1	4	0	0	5	487.31	79.67	15.80	11.80	100	code
5	1	4	0	0	6	504.59	79.67	5.71	11.80	100	in
5	1	4	0	0	7	511.78	79.67	11.59	11.80	100	this
5	1	4	0	0	8	524.86	79.67	9.06	11.80	100	list
5	1	4	0	0	9	535.41	79.67	17.21	11.80	100	using
5	1	4	0	0	10	554.10	79.67	18.67	11.80	100	either
4	1	4	0	1	0	410.324300	88.671200	161.408700	11.799000	-1	###LINE###
5	1	4	0	1	0	410.32	88.67	10.83	11.80	100	the
5	1	4	0	1	1	422.72	88.67	12.96	11.80	100	first
5	1	4	0	1	2	437.26	88.67	17.17	11.80	100	three
5	1	4	0	1	3	456.00	88.67	17.91	11.80	100	digits
5	1	4	0	1	4	475.48	88.67	6.98	11.80	100	or
5	1	4	0	1	5	484.04	88.67	10.83	11.80	100	the
5	1	4	0	1	6	496.44	88.67	9.85	11.80	100	full
5	1	4	0	1	7	507.86	88.67	10.57	11.80	100	ZIP
5	1	4	0	1	8	520.00	88.67	17.43	11.80	100	code,
5	1	4	0	1	9	539.01	88.67	32.72	11.80	100	whichever
4	1	4	0	2	0	410.324300	97.671200	28.764000	11.799000	-1	###LINE###
5	1	4	0	2	0	410.32	97.67	4.87	11.80	100	is
5	1	4	0	2	1	416.68	97.67	22.41	11.80	100	shown.
4	1	4	0	3	0	402.854300	108.687200	172.091700	11.799000	-1	###LINE###
5	1	4	0	3	0	402.85	108.69	6.49	11.80	100	2.
5	1	4	0	3	1	410.95	108.69	12.21	11.80	100	See
5	1	4	0	3	2	424.91	108.69	19.33	11.80	100	which
5	1	4	0	3	3	445.99	108.69	15.83	11.80	100	zone
5	1	4	0	3	4	463.58	108.69	11.01	11.80	100	the
5	1	4	0	3	5	476.35	108.69	10.76	11.80	100	ZIP
5	1	4	0	3	6	488.86	108.69	16.20	11.80	100	code
5	1	4	0	3	7	506.81	108.69	41.14	11.80	100	corresponds
5	1	4	0	3	8	549.71	108.69	8.31	11.80	100	to,
5	1	4	0	3	9	559.77	108.69	15.18	11.80	100	then
4	1	4	0	4	0	410.954300	117.687200	167.328900	11.799000	-1	###LINE###
5	1	4	0	4	0	410.95	117.69	13.37	11.80	100	turn
5	1	4	0	4	1	425.71	117.69	6.80	11.80	100	to
5	1	4	0	4	2	433.91	117.69	13.11	11.80	100	that
5	1	4	0	4	3	448.42	117.69	15.29	11.80	100	zone
5	1	4	0	4	4	465.10	117.69	5.67	11.80	100	in
5	1	4	0	4	5	472.17	117.69	10.65	11.80	100	the
5	1	4	0	4	6	484.21	117.69	37.09	11.80	100	appropriate
5	1	4	0	4	7	522.69	117.69	19.52	11.80	100	FedEx
5	1	4	0	4	8	543.61	117.69	12.55	11.80	100	rate
5	1	4	0	4	9	557.56	117.69	20.73	11.80	100	tables.
4	1	4	0	5	0	402.854300	128.703200	177.417000	11.799000	-1	###LINE###
5	1	4	0	5	0	402.85	128.70	6.35	11.80	100	3.
5	1	4	0	5	1	410.55	128.70	13.84	11.80	100	Find
5	1	4	0	5	2	425.88	128.70	14.36	11.80	100	your
5	1	4	0	5	3	441.73	128.70	12.69	11.80	100	rate
5	1	4	0	5	4	455.90	128.70	18.95	11.80	100	under
5	1	4	0	5	5	476.34	128.70	10.74	11.80	100	the
5	1	4	0	5	6	488.56	128.70	29.95	11.80	100	shipment
5	1	4	0	5	7	520.00	128.70	21.82	11.80	100	weight
5	1	4	0	5	8	543.31	128.70	12.27	11.80	100	and
5	1	4	0	5	9	557.06	128.70	23.21	11.80	100	FedEx®
4	1	4	0	6	0	410.549300	137.703200	61.533000	11.799000	-1	###LINE###
5	1	4	0	6	0	410.55	137.70	22.03	11.80	100	service
5	1	4	0	6	1	434.07	137.70	11.76	11.80	100	you
5	1	4	0	6	2	447.31	137.70	24.77	11.80	100	choose.
3	1	5	0	0	0	46.478100	156.719300	74.460000	15.732000	-1	###FLOW###
4	1	5	0	0	0	46.478100	156.719300	74.460000	15.732000	-1	###LINE###
5	1	5	0	0	0	46.48	156.72	54.37	15.73	100	Contiguous
5	1	5	0	0	1	102.82	156.72	18.12	15.73	100	U.S.
3	1	5	1	0	0	46.478100	175.079300	42.847000	9.177000	-1	###FLOW###
4	1	5	1	0	0	46.478100	175.079300	42.847000	9.177000	-1	###LINE###
5	1	5	1	0	0	46.48	175.08	32.59	9.18	100	Destination
5	1	5	1	0	1	80.22	175.08	9.11	9.18	100	ZIP
3	1	6	0	0	0	98.481100	175.079300	13.853000	9.177000	-1	###FLOW###
4	1	6	0	0	0	98.481100	175.079300	13.853000	9.177000	-1	###LINE###
5	1	6	0	0	0	98.48	175.08	13.85	9.18	100	Zone
3	1	7	0	0	0	124.479100	175.079300	42.847000	9.177000	-1	###FLOW###
4	1	7	0	0	0	124.479100	175.079300	42.847000	9.177000	-1	###LINE###
5	1	7	0	0	0	124.48	175.08	32.59	9.18	100	Destination
5	1	7	0	0	1	158.22	175.08	9.11	9.18	100	ZIP
3	1	8	0	0	0	176.482100	175.079300	13.853000	9.177000	-1	###FLOW###
4	1	8	0	0	0	176.482100	175.079300	13.853000	9.177000	-1	###LINE###
5	1	8	0	0	0	176.48	175.08	13.85	9.18	100	Zone
3	1	9	0	0	0	202.480100	175.079300	42.847000	9.177000	-1	###FLOW###
4	1	9	0	0	0	202.480100	175.079300	42.847000	9.177000	-1	###LINE###
5	1	9	0	0	0	202.48	175.08	32.59	9.18	100	Destination
5	1	9	0	0	1	236.22	175.08	9.11	9.18	100	ZIP
3	1	10	0	0	0	254.483100	175.079300	13.853000	9.177000	-1	###FLOW###
4	1	10	0	0	0	254.483100	175.079300	13.853000	9.177000	-1	###LINE###
5	1	10	0	0	0	254.48	175.08	13.85	9.18	100	Zone
3	1	11	0	0	0	280.481100	175.079300	42.847000	9.177000	-1	###FLOW###
4	1	11	0	0	0	280.481100	175.079300	42.847000	9.177000	-1	###LINE###
5	1	11	0	0	0	280.48	175.08	32.59	9.18	100	Destination
5	1	11	0	0	1	314.22	175.08	9.11	9.18	100	ZIP
3	1	12	0	0	0	332.484100	175.079300	13.853000	9.177000	-1	###FLOW###
4	1	12	0	0	0	332.484100	175.079300	13.853000	9.177000	-1	###LINE###
5	1	12	0	0	0	332.48	175.08	13.85	9.18	100	Zone
3	1	13	0	0	0	46.500000	188.340000	46.440000	291.500000	-1	###FLOW###
4	1	13	0	0	0	46.500000	188.340000	46.440000	9.000000	-1	###LINE###
